lat_nano	lon_nano	level	cell_id_hex
-90000000000	-180000000000	30	0xb000000000000001
-90000000000	-170000000000	30	0xb000000000000001
-90000000000	-160000000000	30	0xb000000000000001
-90000000000	-150000000000	30	0xb000000000000001
-90000000000	-140000000000	30	0xb000000000000001
-90000000000	-130000000000	30	0xb000000000000001
-90000000000	-120000000000	30	0xb000000000000001
-90000000000	-110000000000	30	0xb000000000000001
-90000000000	-100000000000	30	0xb000000000000001
-90000000000	-90000000000	30	0xb000000000000001
-90000000000	-80000000000	30	0xb000000000000001
-90000000000	-70000000000	30	0xb000000000000001
-90000000000	-60000000000	30	0xb000000000000001
-90000000000	-50000000000	30	0xb000000000000001
-90000000000	-40000000000	30	0xb000000000000001
-90000000000	-30000000000	30	0xb000000000000001
-90000000000	-20000000000	30	0xb000000000000001
-90000000000	-10000000000	30	0xb000000000000001
-90000000000	0	30	0xb000000000000001
-90000000000	10000000000	30	0xb000000000000001
-90000000000	20000000000	30	0xb000000000000001
-90000000000	30000000000	30	0xb000000000000001
-90000000000	40000000000	30	0xb000000000000001
-90000000000	50000000000	30	0xb000000000000001
-90000000000	60000000000	30	0xb000000000000001
-90000000000	70000000000	30	0xb000000000000001
-90000000000	80000000000	30	0xb000000000000001
-90000000000	90000000000	30	0xb000000000000001
-90000000000	100000000000	30	0xb000000000000001
-90000000000	110000000000	30	0xb000000000000001
-90000000000	120000000000	30	0xb000000000000001
-90000000000	130000000000	30	0xb000000000000001
-90000000000	140000000000	30	0xb000000000000001
-90000000000	150000000000	30	0xb000000000000001
-90000000000	160000000000	30	0xb000000000000001
-90000000000	170000000000	30	0xb000000000000001
-90000000000	180000000000	30	0xb000000000000001
-80000000000	-180000000000	30	0xaf8078a829fd601d
-80000000000	-170000000000	30	0xa57903d6025b444f
-80000000000	-160000000000	30	0xa576b85713188841
-80000000000	-150000000000	30	0xa57332eab285a0d1
-80000000000	-140000000000	30	0xa511f936ab29e017
-80000000000	-130000000000	30	0xa510ac73fe2cb547
